@relation Polecone

@attribute 'Plec' {m,k}
@attribute 'Kategoria' {Klapki,Botki,Kalosze,Półbuty,Sandały,Mokasyny,Sportowe,Trampki,Trekkingowe,Szpilki,Koturny,Kozaki,Korki}
@attribute 'Marka' {Nike,Adidas,Campus,Lacoste,Converse,TommyHilfiger}
@attribute 'Wiek' {15,18,19,20,22,23,24,25,26,28,29,30,32,34,35,36,37,38,40,42,44,45,48,50,53,54,55,57,60,65}

@data
m,Sportowe,Nike,23
m,Korki,Adidas,23
m,Półbuty,Nike,23
k,Trampki,Lacoste,26
k,Botki,Lacoste,26
k,Botki,Lacoste,26
m,Sandały,Nike,34
m,Sandały,Adidas,34
m,Mokasyny,Adidas,34
k,Trampki,Lacoste,15
m,Sandały,Nike,45
m,Mokasyny,Adidas,45
k,Kalosze,Converse,55
k,Koturny,TommyHilfiger,55
m,Mokasyny,Adidas,65
m,Trekkingowe,Converse,65
m,Sandały,Adidas,65
k,Botki,Lacoste,26
k,Kalosze,Converse,26
k,Mokasyny,Campus,26
k,Trampki,Lacoste,26
m,Sportowe,Nike,23
m,Klapki,Adidas,23
m,Korki,Adidas,23
k,Trampki,Lacoste,23
k,Koturny,TommyHilfiger,23
k,Kozaki,Nike,23
m,Sandały,Nike,34
m,Sandały,Adidas,34
m,Mokasyny,Adidas,34
m,Trampki,Lacoste,34
m,Trampki,Lacoste,34
m,Trekkingowe,Campus,34
k,Trampki,Lacoste,15
m,Klapki,Campus,32
m,Klapki,Adidas,32
m,Sandały,Adidas,32
m,Mokasyny,Adidas,32
m,Trekkingowe,Converse,32
k,Botki,TommyHilfiger,32
k,Kalosze,Converse,32
k,Szpilki,TommyHilfiger,32
k,Szpilki,Converse,32
k,Koturny,TommyHilfiger,32
m,Sandały,Nike,55
m,Trekkingowe,Campus,55
k,Szpilki,TommyHilfiger,50
k,Koturny,TommyHilfiger,50
k,Kalosze,Converse,50
k,Kalosze,Converse,50
m,Sportowe,Nike,20
m,Klapki,Campus,20
m,Półbuty,Nike,20
m,Sportowe,Campus,20
m,Sportowe,Lacoste,20
m,Trampki,Lacoste,20
m,Trekkingowe,Converse,20
k,Koturny,TommyHilfiger,44
k,Szpilki,Converse,44
k,Szpilki,TommyHilfiger,44
m,Półbuty,TommyHilfiger,35
m,Sandały,Nike,35
m,Mokasyny,Adidas,35
m,Sportowe,Lacoste,35
m,Sportowe,Campus,35
k,Botki,Lacoste,22
k,Botki,TommyHilfiger,22
k,Kalosze,Converse,22
k,Trampki,Lacoste,22
k,Kozaki,Nike,22
m,Klapki,Adidas,19
m,Sportowe,Nike,19
m,Korki,Adidas,19
m,Półbuty,TommyHilfiger,19
k,Koturny,TommyHilfiger,34
k,Szpilki,TommyHilfiger,34
k,Trampki,Lacoste,34
k,Kalosze,Converse,34
